DateTime,AddedIPs,RemovedIPs
1578704478,13,5
1578706348,18,3
1578708271,19,9
1578710429,21,8
1578712584,12,4
1578714767,18,5
1578716652,19,7
1578718605,25,1
1578720519,18,6
1578722571,24,7
1578724568,728,50
1578726512,165,480
1578728417,29,1326
1578730342,34,114
1578732278,19,395
1578734419,23,190
1578736300,29,337
1578738272,25,147
1578740189,28,302
1578742343,38,136
1578744773,25,13
1578746657,26,19
1578748477,25,13
1578750512,55,326
1578752410,20,97
1578754338,21,297
1578756271,19,153
1578758181,13,325
1578760343,35,232
1578762504,12,10
1578764416,27,25
1578766369,22,15
1578768270,676,11
1578770174,2235,15
1578772117,167,12
1578774018,15,19
1578776214,27,13
1578778094,65,17
1578780270,17,15
1578782195,21,21
1578784138,23,12
1578786103,23,14
1578787945,21,8
1578790068,48,21
1578792091,41,12
1578793931,27,21
1578795864,28,17
1578797794,22,18
1578799944,28,22
1578802108,408,15
1578804013,814,24
1578805947,18,27
1578807853,42,11
1578809794,32,28
1578811695,573,722
1578813639,107,574
1578815549,329,534
1578817474,530,343
1578819384,350,24
1578821292,30,20
1578823363,24,38
1578825380,31,28
1578827322,27,28
1578829231,29,26
1578831407,27,28
1578833540,35,27
1578835474,28,27
1578837382,28,36
1578839304,24,19
1578841351,29,26
1578843169,41,10
1578845198,329,23
1578847230,431,26
1578849156,271,13
1578851075,376,22
1578853243,754,23
1578855131,360,804
1578857091,292,1796
1578859004,339,19
1578860893,419,16
1578862989,123,27
1578865219,32,39
1578867135,34,13
1578869069,43,16
1578870973,23,25
1578873135,25,13
1578875074,15,19
1578876984,23,36
1578878891,28,35
1578882022,40,40
1578883953,26,21
1578885879,26,16
1578887802,30,27
1578889693,29,873
1578891688,134,25
1578893548,27,27
1578895711,20,30
1578897614,793,63
1578899579,65,207
1578901451,228,111
1578903623,141,25
1578905535,31,19
1578907482,29,21
1578909374,18,16
1578911549,34,35
1578913592,40,27
1578915630,1444,25
1578917561,4047,15
1578919458,2372,23
1578921390,1747,36
1578923567,26,27
1578925476,22,15
1578927381,20,17
1578929317,18,30
1578932194,28,333
1578934104,19,235
1578936016,24,171
1578937933,29,250
1578939872,24,538
1578941769,23,238
1578943947,30,237
1578945912,15,195
1578947826,25,353
1578949722,32,22
1578951612,18,43
1578953821,34,39
1578955690,50,35
1578957622,17,17
1578959529,21,21
1578961465,25,11
1578963372,29,21
1578965299,23,27
1578967311,31,22
1578969211,26,24
1578971133,25,14
1578972973,30,31
1578974897,19,21
1578976826,34,27
1578978738,23,126
1578980689,29,28
1578982594,37,16
1578984813,2161,796
1578986696,1347,33
1578988575,1606,38
1578990514,639,31
1578992610,448,36
1578994814,44,25
1578996735,26,23
1578998681,53,26
1579000590,68,49
