DateTime,AddedIPs,RemovedIPs
1578843722,2,5
1578844321,1,0
1578845522,2,2
1578846121,0,2
1578846721,0,1
1578847921,0,3
1578849121,1,2
1578850321,0,3
1578850922,1,0
1578851521,2,3
1578852721,6,5
1578853921,3,3
1578855722,1,1
1578856921,0,2
1578857521,1,0
1578859921,0,2
1578860522,3,0
1578861121,1,4
1578862322,2,0
1578863521,3,1
1578864721,1,2
1578865321,0,6
1578866521,0,3
1578867721,1,0
1578869522,0,3
1578870121,0,1
1578871922,0,3
1578873121,1,5
1578874322,1,3
1578874921,5,2
1578875522,12,0
1578876121,6,0
1578876721,1,0
1578878521,1,4
1578879722,1,0
1578880322,0,5
1578881521,2,0
1578882121,1,5
1578883321,1,1
1578884521,2,5
1578885721,1,9
1578886321,7,3
1578886921,2,0
1578888121,2,0
1578889321,1,4
1578889921,1,0
1578890521,0,3
1578891121,1,8
1578892922,0,3
1578894121,0,8
1578895321,0,2
1578895922,0,2
1578897121,9,4
1578898321,1,7
1578898921,8,9
1578900121,2,2
1578900721,1,2
1578901322,0,1
1578903121,0,1
1578903721,0,4
1578904921,1,2
1578905521,0,1
1578906121,0,10
1578907922,1,18
1578908521,1,0
1578909122,2,1
1578909722,2,5
1578910922,1,4
1578912721,0,6
1578913322,1,0
1578913921,0,6
1578914522,1,0
1578915121,0,2
1578916321,1,1
1578917521,0,2
1578918121,1,2
1578919922,0,1
1578921721,0,2
1578922321,1,2
1578922921,0,4
1578925921,1,1
1578926521,2,2
1578928321,7,0
1578928921,2,0
1578929521,1,4
1578930721,0,4
1578931921,0,2
1578932522,2,1
1578933721,0,3
1578934921,0,1
1578935521,0,1
1578936721,0,3
1578937922,0,2
1578939121,1,2
1578939721,4,0
1578940321,0,9
1578942121,1,1
1578942721,0,26
1578944521,0,18
1578945121,1,1
1578946322,0,2
1578946921,1,2
1578948121,1,16
1578948722,0,1
1578949321,0,4
1578949921,3,4
1578951121,3,4
1578951721,3,0
1578952922,0,15
1578954122,4,1
1578954721,2,2
1578955922,2,4
1578957122,2,0
1578958921,1,1
1578960122,1,0
1578961321,1,0
1578962521,2,3
1578964321,7,0
1578965521,5,1
1578967321,1,0
1578969721,4,0
1578970921,3,0
1578972121,1,1
1578973321,44,2
1578973921,7,0
1578974522,1,0
1578975722,1,0
1578976921,0,1
1578977521,1,0
1578978721,2,16
1578979322,1,0
1578979922,0,11
1578980521,0,12
1578981721,0,4
1578982322,0,1
1578982922,2,1
1578983522,1,0
1578985921,11,0
1578986521,5,0
1578987721,1,1
1578988321,1,0
1578989521,1,0
1578991322,1,0
1578997321,1,2
1578998521,10,0
1578999721,0,1
1579000921,0,1
