DateTime,AddedIPs,RemovedIPs
1578007236,85,102
1578009157,67,95
1578011071,60,63
1578012987,54,64
1578014906,96,90
1578017119,100,98
1578019274,57,84
1578021182,78,63
1578023064,85,75
1578025242,48,91
1578027172,67,69
1578029077,85,71
1578030978,139,94
1578032954,96,69
1578035146,82,88
1578036997,82,75
1578038908,93,61
1578040816,73,75
1578042758,79,71
1578044662,65,63
1578046594,73,55
1578048543,71,79
1578050415,64,79
1578052342,69,73
1578054273,53,2491
1578056176,66,1530
1578058104,117,2745
1578061948,217,7274
1578063882,110,5186
1578065775,100,4718
1578067944,97,5128
1578069857,102,117
1578071796,87,60
1578073723,86,95
1578075697,82,86
1578077540,76,84
1578079489,105,72
1578081378,71,78
1578083558,115,83
1578085381,89,75
1578087384,98,71
1578089554,118,101
1578091456,93,86
1578093761,106,79
1578095591,88,79
1578097700,90,66
1578099900,79,81
1578102024,93,100
1578103935,71,66
1578105881,82,68
1578108029,78,107
1578109945,86,76
1578111876,85,74
1578113793,79,71
1578116002,106,88
1578118104,75,119
1578120017,80,91
1578121962,85,78
1578123856,75,84
1578125780,73,96
1578127711,75,82
1578129769,84,93
1578131774,88,79
1578133979,84,92
1578135879,77,87
1578137794,90,87
1578139723,74,74
1578141638,86,74
1578143542,70,73
1578145703,105,99
1578147634,74,88
1578149534,76,74
1578151482,76,84
1578153373,82,97
1578155545,89,94
1578157532,80,95
1578159396,97,89
1578161578,106,83
1578163475,68,88
1578165624,93,122
1578167540,124,70
1578169477,123,79
1578171378,124,83
1578173326,88,79
1578175411,101,106
1578177619,116,95
1578179585,70,87
1578181458,88,91
1578183646,86,97
1578185549,98,69
1578187476,80,73
1578189370,76,90
1578191553,85,91
1578193534,63,78
1578195379,82,74
1578197323,91,60
1578199218,82,80
1578201198,68,82
1578203073,71,84
1578204993,72,73
1578206927,77,72
1578208874,71,68
1578210743,79,83
1578212697,65,58
1578214599,64,102
1578216775,65,97
1578218763,71,93
1578220602,72,73
1578222521,72,83
1578224424,67,106
1578226394,58,76
1578228281,74,98
1578230210,74,90
1578232123,92,76
1578234105,97,78
1578235949,72,75
1578238838,96,131
1578240770,59,59
1578242676,58,84
1578244834,77,105
1578246741,68,99
1578248689,99,102
1578250579,118,77
1578252753,408,91
1578254908,84,120
1578256819,79,85
1578258763,81,190
1578260695,68,83
1578262603,89,85
1578264502,99,91
1578266419,65,87
1578268468,332,88
1578270497,1289,89
1578273376,2363,133
1578275296,1714,84
1578277239,1229,77
1578279135,1359,68
1578281056,1132,68
1578283007,1193,69
1578284892,1128,71
1578287843,1672,91
1578289727,1039,75
1578291636,941,100
1578293540,1114,80
1578295490,982,61
1578297397,1143,75
1578299553,1114,87
1578301492,947,76
1578303421,1060,74
1578305323,831,97
1578307253,1125,62
1578309398,1061,47
1578311552,1260,86
1578313501,868,50
1578315407,185,52
1578317328,49,56
1578319555,84,91
1578321645,61,102
1578323821,55,62
1578325755,45,55
1578327635,91,48
1578329799,111,70
1578331716,79,60
1578333926,72,71
1578336034,64,79
1578337959,67,68
1578339931,120,67
1578342041,125,54
1578343991,114,66
1578345876,94,64
1578347820,78,54
1578349956,101,80
1578351952,79,55
1578353803,102,54
1578355805,97,840
1578357870,99,1479
1578359804,85,1613
1578361732,77,1692
1578363616,133,1167
1578365536,103,1376
1578367464,93,1129
1578369390,84,1153
1578371342,71,1147
1578373504,94,1171
1578375408,85,1068
1578377315,90,1000
1578379221,81,1063
1578381136,83,965
1578383080,1054,1190
1578384975,3986,983
1578387143,5013,1255
1578389065,3371,988
1578390996,3371,949
1578393146,3190,1140
1578395117,2973,1000
1578397004,2850,1089
1578398953,2509,899
1578400828,3015,662
1578402780,1097,88
1578404664,74,80
1578406612,73,91
1578408530,84,91
1578410446,75,41
1578412364,81,40
1578414283,60,58
1578416197,100,52
1578418123,83,54
1578420330,92,73
1578422431,100,65
1578424394,84,60
1578426258,103,85
1578428194,100,82
1578430116,93,94
1578432299,101,91
1578434178,86,78
1578436100,73,74
1578438368,89,82
1578440197,77,75
1578442366,81,111
1578444329,68,80
1578446423,86,92
1578448339,65,72
1578450257,73,65
1578452178,69,80
1578454116,75,81
1578456217,62,87
1578458174,66,76
1578460115,66,74
1578462029,61,85
1578463977,63,86
1578465857,51,61
1578468054,68,98
1578469977,84,2287
1578471856,96,3874
1578473806,52,4307
1578475697,1230,3352
1578477877,290,3251
1578480020,74,3685
1578481943,45,2557
1578483876,69,3078
1578485796,36,2477
1578487724,113,2982
1578489626,98,399
1578491599,118,104
1578493482,90,61
1578495385,101,77
1578497302,89,74
1578499531,145,88
1578501646,1784,90
1578503638,525,82
1578505476,91,77
1578507395,81,72
1578509320,92,98
1578511239,113,92
1578513149,100,105
1578515088,130,93
1578517086,76,109
1578518935,117,89
1578521128,104,99
1578523310,133,93
1578525207,79,101
1578527065,82,86
1578528986,63,81
1578530922,79,80
1578532823,103,81
1578534756,111,88
1578536685,103,81
1578538604,82,93
1578540503,69,93
1578542733,91,94
1578544652,91,76
1578546521,99,73
1578548432,87,71
1578550404,94,77
1578552267,75,64
1578554239,84,70
1578556127,93,99
1578558069,60,129
1578559967,79,107
1578561891,1224,1193
1578563817,1729,612
1578565712,1739,76
1578567945,2013,50
1578569839,1699,61
1578571739,1593,60
1578573759,1941,76
1578575804,1534,87
1578577952,2016,98
1578579911,1632,72
1578581808,1792,71
1578583720,1564,66
1578585951,1699,114
1578587822,1894,1094
1578589715,1601,643
1578591869,1916,71
1578593798,1541,52
1578595749,1873,67
1578597634,1574,84
1578599614,1880,64
1578601506,74,67
1578603425,48,58
1578605310,44,76
1578607514,78,73
1578609673,323,88
1578611586,48,64
1578613469,64,73
1578615624,75,51
1578617564,77,60
1578619483,65,78
1578621403,69,66
1578623330,67,66
1578626222,99,81
1578628122,70,63
1578630049,48,60
1578631939,44,67
1578633865,58,75
1578635803,64,66
1578637969,67,54
1578640853,94,101
1578643047,231,82
1578645103,518,56
1578647296,544,227
1578649633,483,2187
