DateTime,AddedIPs,RemovedIPs
1578703697,4,10
1578705616,2,4
1578707537,2,2
1578709448,6,5
1578711373,9,8
1578713288,4,10
1578716178,7,12
1578718332,5,1
1578720516,4,6
1578722445,23,7
1578724364,7,12
1578726283,6,6
1578728415,11,24
1578730338,10,11
1578732275,15,11
1578734417,7,12
1578736297,7,12
1578738269,6,6
1578740186,4,15
1578742339,7,10
1578744770,9,7
1578746654,5,3
1578748474,4,4
1578750509,3,7
1578752407,1,6
1578754335,1,12
1578756268,4,5
1578758178,7,7
1578760340,4,12
1578762502,10,5
1578764414,7,7
1578766367,7,4
1578768266,24,6
1578770172,58,6
1578772112,5,9
1578774014,7,7
1578776211,6,7
1578778092,6,4
1578780144,1,5
1578781957,3,8
1578784128,2,4
1578786037,5,17
1578787940,3,6
1578789907,5,5
1578792048,5,4
1578793928,1,0
1578795861,6,8
1578797791,0,14
1578799940,8,4
1578802102,12,5
1578804010,15,4
1578805944,2,7
1578807849,0,6
1578809791,3,5
1578811691,33,7
1578813635,4,9
1578815546,7,13
1578817471,5,14
1578819380,10,9
1578821289,6,7
1578823246,3,8
1578825132,1,2
1578827314,2,2
1578829227,3,6
1578831394,2,5
1578833536,5,8
1578835470,5,4
1578837377,6,3
1578839299,3,7
1578841224,7,3
1578843165,2,9
1578845100,6,4
1578846994,7,4
1578849152,6,9
1578851071,5,7
1578853238,42,7
1578855127,9,15
1578857087,5,47
1578858974,11,5
1578860889,64,6
1578862828,3,7
1578864766,6,6
1578866678,11,1
1578868579,1,1
1578870518,3,1
1578872418,3,3
1578874372,73,22
1578876250,259,5
1578878174,245,4
1578880116,365,4
1578882019,344,6
1578883928,181,4
1578885875,135,5
1578887769,103,3
1578889690,149,16
1578891660,222,5
1578893546,85,2
1578895707,251,4
1578897613,222,5
1578899577,153,2
1578901449,140,4
1578903621,181,5
1578905533,240,3
1578907480,239,2
1578909372,216,5
1578911547,206,1
1578914408,239,1
1578916348,236,1
1578918281,198,2
1578920169,299,3
1578922087,248,6
1578925219,250,7
1578927155,5,4
1578929060,0,4
1578930972,1,3
1578932899,4,0
1578935795,7,7
1578937703,5,4
1578939626,4,17
1578941529,0,4
1578943470,4,4
1578945371,2,2
1578947288,5,57
1578950180,8,5
1578952335,4,2
1578954554,2,5
1578956450,2,4
1578958332,1,5
1578960521,2,49
1578962426,2,283
1578964394,2,206
1578966258,4,341
1578968183,4,335
1578970114,1,190
1578972016,5,149
1578973959,4,107
1578975855,3,128
1578977794,4,232
1578979695,7,67
1578981652,0,246
1578983562,10,196
1578985722,21,178
1578987659,13,131
1578989559,6,139
1578991453,4,232
1578993381,7,208
1578995542,10,281
1578997452,8,166
1578999391,4,188
1579001293,12,91
